CUSTOMER,Address,City,Zip
HUALAPAI KWIK STOP-S,25200 HUALAPAI MNT RD,KINGMAN,86401
SMITH'S FOOD #188,80 N ACOMA BLVD,LAKE HAVASU CITY,86403
SMITH'S FOOD #191,1775 LAKESIDE DR,BULLHEAD CITY,86442
SMITH'S FOOD & DRUG #473,4747 HWY 95,FORT MOHAVE,86427
17TH STREET MARKET,810 E. 17TH STREET,TUCSON,85702
56TH STREET DELI,5619 E INDIAN SCHOOL ROAD,PHOENIX,85018
7-11 #13011,774 NORTH ARIZONA AVE.,CHANDLER,85224
7-11 #17403E,1080 N. COLUMBUS BLVD.,TUCSON,85711
7-11 #17426H,4661 E. SKYLINE,TUCSON,85718
7-11 #17766D,1750 E. SPEEDWAY,TUCSON,85719
7-11 #18383B,4659 E. 22ND ST.,TUCSON,85711
7-11 #18602M,1201 S. AVENIDA POLAR,TUCSON,85710
7-11 #18981C,3501 E. GRANT RD.,TUCSON,85716
7-11 #20196B,1595 W. ST. MARY,TUCSON,85745
7-11 #20433,12033 N 28TH DR,PHOENIX,85029
7-11 #20622,646 W INDIAN SCHOOL RD,PHOENIX,85013
7-11 #21022,1210 W. GUADALUPE ROAD,MESA,85202
7-11 #21043B,4680 E. BROADWAY,TUCSON,85711
M & M MART,1155 S COUNTRY CLUB,MESA,85210
7-11 #22886,3912 E CAMELBACK RD.,PHOENIX,85018
7-11 #23347C,3856 E. 5TH ST.,TUCSON,85718
7-11 #23823,1001 E. SPEEDWAY,TUCSON,85719
7-11 #24418C,4295 E. 29TH ST.,TUCSON,85711
7-11 #25078,1405 N. SCOTTSDALE RD.,TEMPE,85281
7-11 #25466B,8750 S MCCLINTOCK,TEMPE,85284
7-11 #25845,8402 E MCDOWELL,SCOTTSDALE,85257
7-11 #26085,1850 W GLENDALE RD,PHOENIX,85021
7-11 #26096D,5125 S MILL AVE,TEMPE,85282
7-11 #26411,8410 E MCDONALD,SCOTTSDALE,85250
7-11 #26511,6235 E. BELL ROAD,SCOTTSDALE,85250
7-11 #26908,1157 N GILBERT RD,GILBERT,85234
7-11 #27215C,2025 W WARNER ROAD,CHANDLER,85224
7-11 #32265K,485 W. WARNER RD.,TEMPE,85284
7-11 #32280,7442 S. 48TH STREET,PHOENIX,85042
7-11 #32281,1795 E UNIVERSITY DR,TEMPE,85281
7-11 #32602D,785 S. VAL VISTA DRIVE,GILBERT,85296
A/N/B TABACCO & GIFTS,1933 W MAIN STREET ST#7,MESA,85201
ABC MARKET,2710 S. PARK AVE,TUCSON,85713
ALL BRANDS GAS,1380 W. PRINCE RD.,TUCSON,85705
ALVAREZ AUTO CENTER,81 N. MAIN,SNOWFLAKE,85937
ANDREWS GAS & FOOD MART,9060 W. NORTHERN AVE,GLENDALE,85305
APACHE GOLD CONVENIENCE STORE,CUTTER IND. PARK HWY 70;,SAN CARLOS,85550
AQUA VITA,2801 N COUNTRY CLUB RD.,TUCSON,85716
ARCO AM/PM #00002,2816 E MCKELLIPS,MESA,85213
ARCO AM/PM #01518,"3233 S, MCCLINTOCK DR.",TEMPE,85282
ARCO AM/PM #81922,2635 W. DEER VALLEY ROAD,PHOENIX,85027
ARCO AM/PM #82019,2309 E. UNIVERSITY DR.,TEMPE,85281
ARCO AM/PM #82258,13801 N. 19TH AVE.,PHOENIX,85023
ARCO AM/PM #82323,2389 E. HIGHWAY 60,GLOBE,85539
ARCO AM/PM #82326,2450 E. VALENCIA,TUCSON,85706
ARCO AM/PM #82507,2245 E. FLORENCE BLVD,CASA GRANDE,85222
ARCO AM/PM #82518,2711 W UNION HILLSINC,PHOENIX,85027
ARCO AM/PM #82525,2800 N. ORACLE,TUCSON,85705
ARCO AM/PM #82567,10809 N FRANK LLOYD WRIGH,SCOTTSDALE,85259
ARCO AM/PM #82735,3610 EAST BELL RD,PHOENIX,85032
AZ CITY COUNTRY CLUB,13939 S. CLEATOR RD,ARIZONA CITY,85223
CHEVRON - AZ CAR WASH,12621 N PARADISE VALLEY P,PHOENIX,85032
BARNEYS GROCERY,JCT 180 & HWY 64,WILLIAMS,86046
BEVERAGE DEPOT,4231 E. 22ND,TUCSON,85711
BEVERAGE HOUSE #7,166 W 32ND ST,YUMA,85364
BIKE & BEAN,6020 HIGHWAY 179,SEDONA,86351
CAVE CREEK MARKET,31414 N. CAVE CREEK RD.,CAVE CREEK,85331
BLUE RIDGE MARKET,210 S. HWY 69,DEWEY,86327
BOTTLE SHOPPE,231 N MAIN,FLORENCE,85232
BUCKEYE FEED & COUNTRY STORE,24100 W HWY 85,BUCKEYE,85326
BUCKEYE GAS AND FOOD,105 E MONROE,BUCKEYE,85326
BUTLER CHEVRON,2295 E BUTLER,FLAGSTAFF,86001
CACTUS BOWL,1630 S. ALVERNON,TUCSON,85711
CACTUS OIL,9030 EAST INDIAN BOND,SCOTTSDALE,85250
CACTUS VIDEO & MINI MART,352 ALDEN RD,KEARNY,85237
CAMPUS CORNER,712 S COLLEGE AVE,TEMPE,85281
CAR CARE-CLASS SIX STORE,3360 S. CRAYCROFT,TUCSON,85707
CARNECERIA DURANGO,502 E MONROE,BUCKEYE,85326
CARNICERIA LOS PRIMO,9895 S. OLD NOGALES HWY.,TUCSON,85706
CARTER 76 MART,1322 E. ROUTE 66,FLAGSTAFF,86001
CASA BLANCA EXXON,5960 N. ORACLE,TUCSON,85704
CHEVRON FOOD MART #208047,14445 W. GRANDE AVENUE,SURPRISE,85375
CHILI'S #0848,900 S. BEELINE HIGHWAY,PAYSON,85541
CINDY'S MINI MARKET II,15444 GREASEWOOD,SURPRISE,85374
LIBERTY FUEL LLC,1201 N. 59TH AVE.,PHOENIX,85043
COBBLESTONE TO GO,3399 N SCOTTSDALE RD,SCOTTSDALE,85251
CONVENIENT CORNER MARKET,9330 E POINSETTA DR,SCOTTSDALE,85260
COOLIDGE FUEL,295 S. ARIZONA BLVD,COOLIDGE,85228
COOLIDGE MKT,375 W. COOLIDGE AVE,COOLIDGE,85228
COTTONWOOD CONVENIENCE DEPOT,623 E COTTONWOOD LN,CASA GRANDE,85222
CVS/PHARMACY #7867,5100 E GRANT ROAD,TUCSON,85716
CVS/PHARMACY #9211,6484 N. ORACLE RD.,TUCSON,85704
HAREE MART,10444 N. SCOTTSDALE,SCOTTSDALE,85260
DAVE'S FAST STOP,2060 HWY 60,GLOBE,85539
DECA SCHOOL STORE,2730 NORTH TREKELL,CASA GRANDE,85222
DEL LAGO GOLF CLUB,14155 E VIA RANCHO DEL LA,VAIL,85641
DEL SOL MARKETPLACE,5405 W. VALENCIA,TUCSON,85746
DELUX,3146 E CAMELBACK,PHOENIX,85016
DEMARCO'S ITALIAN RESTAURANT,1097 N. BROAD ST.,GLOBE,85501
DENNY'S #6869,669 SCENIC VIEW RD.,PAGE,86040
DJ'S BAGEL CAFE,13693 N FOUNTAIN HILLS BL,FOUNTAIN HILLS,85268
DRAWN COMICS,5757 W. GLENDALE AVE STE,GLENDALE,85301
EAST VALLEY-REDEMPTION CHURCH,1820 W ELLIOT ROAD,GILBERT,85233
EASY MART,6351 16TH STREET,PHOENIX,85009
ED'S IGA #19668,160 N MAIN ST.,SNOWFLAKE,85937
EL MERCADO MINI MART,2261 E FRONTAGE ROAD; BLD,TUBAC,85646
EL RANCHO RESTAURANT-PAYSON,200 S. BEELINE HIGHWAY,PAYSON,85541
ELLIOT MARKET,17750 W. ELLIOT RD.,GOODYEAR,85338
