STORE,STREET,CITY,ZIP
BRISTOL FARMS          #7,810 AVOCADO AVE,NEWPORT BEACH,92660
VICENTE FOODS,12027 SAN VICENTE BLVD,LOS ANGELES,90049
SHELL/MOSTAMAND,490 E SAN JACINTO AVE,PERRIS,92570
ELITE WHOLESALE,12323 SHERMAN WAY,NORTH HOLLYWOOD,91605
GELSON'S MARKET        #4,10250 SANTA MONICA BLVD,LOS ANGELES,90067
GELSONS MARKET        #16,4520 VAN NUYS BLVD,SHERMAN OAKS,91403
SPROUTS NATURAL MARKET,40458 WINCHESTER RD,TEMECULA,92591
7-11 FOOD STORE #19651,1600 SANTA MONICA BLVD,SANTA MONICA,90404
PROMENADE 76,40720 WINCHESTER RD,TEMECULA,92591
SUPER KING CASH & CARRY,7572 SANTA RITA CIRCLE,STANTON,90680
GRAND G & G INC,7250 BANDINI BLVD #203,COMMERCE,90040
THRIFTY             #9721,268 E 4TH ST,PERRIS,92570
ARCO AM/PM         #82355,5020 E 4TH ST,ONTARIO,91761
7-11 FOOD STORE #13731,3451 OVERLAND AVE,LOS ANGELES,90034
GELSONS MARKET        #11,22277 W MULHOLLAND HWY,CALABASAS,91302
HERBIE'S NATURALS,13310 E WHITTIER BLVD,WHITTIER,90602
AGUA DULCE GENERAL STORE,33355 AGUA DULCE CANYON,AGUA DULCE,91390
MAYFAIR MARKET        #22,2725 HYPERION AVE,LOS ANGELES,90027
FOGGIA ITALIAN MARKET,5522 DEL AMO BLVD,LAKEWOOD,90713
GELSONS MARKET         #6,1660 SAN MIGUEL DR,NEWPORT BEACH,92660
VALLI HO LIQUOR,16925 SHERMAN WAY,VAN NUYS,91406
GELSONS MARKET         #3,4738 LAUREL CANYON BLVD,NORTH HOLLYWOOD,91607
NEW YORK BAGELS & DELI,4373 WOODMAN AVE,SHERMAN OAKS,91423
GELSONS MARKET        #20,245 E GREEN ST,PASADENA,91101
CALIFORNIA PITA & GRILL,12001 WILSHIRE BLVD,BRENTWOOD,90025
ARCO AM/PM J & K,701 E FOOTHILL BLVD,CLAREMONT,91711
DOLLAR MALL,2929 S VINEYARD AVE   C-E,ONTARIO,91761
MOBIL/MILLIKEN,4321 ONTARIO MILLS PKWY,ONTARIO,91764
ACE WHOLESALE,1675 S ALAMEDA ST,LOS ANGELES,90021
BAGEL BAGEL CAFE,19755 RINALDI ST,NORTHRIDGE,91326
7-11 FOOD STORE #33595,32060 CLINTON KEITH,WILDOMAR,92563
MOBIL/ALLEN & VILLA,475 N ALLEN AVE,PASADENA,91106
MARUKAI WHOLESALE MART,1740 W ARTESIA BLVD,GARDENA,90248
FRY UNION CIRCLE K 255881,24551 LYONS AVE,NEWHALL,91321
CHEVRON             #1402,5051 KANAN RD,AGOURA HILLS,91301
UNOCAL/CENTURY CITY 76,10389 SANTA MONICA BLVD,LOS ANGELES,90025
MAYFAIR MARKET       #114,5877 FRANKLIN AVE,HOLLYWOOD,90028
WALGREENS DRUGS     #6516,5467 WILSHIRE BLVD,LOS ANGELES,90036
ARCO AM/PM MONTCLAIR,5281 MISSION BLVD,MONTCLAIR,91763
CHEVRON/MAC       #942409,4807 LAS VIRGENES RD,CALABASAS,91302
CAMBRIDGE FARMS,12431 BURBANK BLVD,NORTH HOLLYWOOD,91607
WHITTIER NARROWS GOLFCOUR,8640 E RUSH ST,SOUTH SAN GABRI,91770
JOES DELI,230 E ORANGE GROVE BLVD,PASADENA,91104
BRISTOL FARMS         #10,9039 BEVERLY BLVD,WEST HOLLYWOOD,90048
RESERVOIR MART,2488 S RESERVOIR ST,POMONA,91766
COACHS GOURMET DELI,221 MAIN ST #D,HUNTINGTON BEAC,92647
ROYAL MARKET,716 TENNESSEE ST,REDLANDS,92374
A1 VALLEY MART DELI,19980 GRAND AVE STE #A,LAKE ELSINORE,92530
BRISTOL FARMS          #5,140 PROMENADE WAY STE A,WESTLAKE VILLAG,91362
SHELL/MALIBU CANYON,4831 LAS VIRGENES RD,CALABASAS,91302
KELLY'S SHELL,11680 VICTORY BLVD,NORTH HOLLYWOOD,0
BOB'S MARKET,1650 OCEAN PARK BLVD,SANTA MONICA,90405
MOBIL/FALLBROOK,6350 FALLBROOK AVE,WOODLAND HILLS,91367
MARINA SHELL SERVICE,4770 LINCOLN BLVD,MARINA DEL REY,90292
BEL AIR 76,800 N SEPULVEDA BLVD,LOS ANGELES,90049
CHEVRON/BEVERLY,7020 W BEVERLY BLVD,LOS ANGELES,90036
CHEVRON/VALLEY,13129 VALLEY BLVD,LA PUENTE,91746
CIRCLE K FOOD STORE #5062,681 E FOOTHILL BLVD,UPLAND,91786
PURE ENERGY SOUTH BAY,2250 PARK PL,EL SEGUNDO,90245
BRISTOL FARMS          #3,1570 ROSECRANS AVE STE H,MANHATTAN BEACH,90266
GELSONS SUPER MARKET  #19,624 MONARCH BAY PLAZA,DANA POINT,92629
ARCO AM/PM         #81451,6002 BOLSA AVE,HUNTINGTON BEAC,92647
HEMET EAST CENTER   #5005,43510 E FLORIDA AVE    #A,HEMET,92544
CHEVRON FOOD MART  #91925,5356 CANOGA AVE,WOODLAND HILLS,91364
HARVEST MARKET,14055 BURBANK BLVD,VAN NUYS,91401
FIELDS MARKET,23221 SATICOY ST,CANOGA PARK,91304
GELSONS MARKET         #2,16450 VENTURA BLVD,ENCINO,91436
7-11 FOOD STORE #18889,5345 LAUREL CAYNON BLVD,NORTH HOLLYWOOD,91607
HAPPYS LIQUOR,12 W SIERRA MADRE BLVD,SIERRA MADRE,91024
BRISTOL FARMS          #2,606 FAIR OAKS AVE,SOUTH PASADENA,91030
HI HO MARKET,623 N AVENUE 64,LOS ANGELES,90042
GOURMET LIQUOR,1476 W 3RD ST,LOS ANGELES,90017
STAR LIQUOR,1929 MAIN ST,SANTA MONICA,90405
7-11 FOOD STORE #18821,11075 W OLYMPIC BLVD,LOS ANGELES,90064
SANTA MONICA GLATT MARKET,11540 SANTA MONICA BLVD,LOS ANGELES,90025
MAX LIQUOR,2114-30 SAWTELLE BLVD#114,WEST LOS ANGELE,90025
CHEVRON/BRENTWOOD,11852 SAN VICENTE BLVD,LOS ANGELES,90049
RIO PETROLEUM,11675 W PICO BLVD,WEST LOS ANGELE,90064
BRISTOL FARMS         #15,1515 WESTWOOD BLVD,LOS ANGELES,90024
BEVERLY HILLS LIQUOR,8318 WILSHIRE BLVD,BEVERLY HILLS,90211
STATION FOOD MARKET,6601 HOLLYWOOD BLVD,LOS ANGELES,90028
WHITLEY HEIGHTS MARKET,1900-10 N HIGHLAND AVE,LOS ANGELES,90068
MAYFAIR MARKET       #108,8330 W SANTA MONICA BLVD,WEST HOLLYWOOD,90069
MEL & ROSE LIQUOR & DELI,8344 MELROSE AVE,LOS ANGELES,90069
SUNSET PLAZA LIQUORS,7365 W SUNSET BLVD,LOS ANGELES,90046
BRISTOL FARMS          #9,7880 W SUNSET BLVD,LOS ANGELES,90046
CHEVRON/HACIENDA HEIGHTS,2321 HACIENDA BLVD,HACIENDA HEIGHT,91745
ARCO                #9684,2475 S GAREY AVE,POMONA,91766
CASK & KEG LIQUOR,2585 N GAREY AVE,POMONA,91767
ARCO,2087 S RESERVOIR ST,POMONA,91766
EL RANCHO MARKET,610 E FRANCIS ST,ONTARIO,91761
UNOCAL/ONTARIO MILLS 76,4350 MILLS CIRCLE,ONTARIO,91764
ARCO AM/PM,2446 S ARCHIBALD AVE,ONTARIO,91761
BRISTOL FARMS          #6,2080 N BELLFLOWER BLVD,LONG BEACH,90815
CORNER LIQUOR THE,17403 CLARK AVE,BELLFLOWER,90706
MALAGA COVE RANCH MARKET,43 MALAGA COVE PLZ,PALOS VERDES ES,90274
VILLAGE LIQUOR,1823 E CARSON ST,CARSON,90745
IRVINE RANCH MARKET,2651 IRVINE AVE      #J1A,COSTA MESA,92627
ARCO AM/PM DANA POINT,34342 PACIFIC COAST HWY,DANA POINT,92629
WHOLESOME CHOICE,5755 E LA PALMA AVE,ANAHEIM,92807
FMF POWER BEVERAGE       ,00630 CLINTON DRIVE      ,BEVERLY HILLS  ,90210
DEL CERRO CHEVRON        ,06301 DEL CERRO BLVD     ,SAN DIEGO      ,92120
BRISTOL FARMS            ,08510 GENESEE AVE        ,SAN DIEGO      ,92122
7-ELEVEN 2111 #13666     ,11610 RIVERSIDE DR       ,LAKESIDE       ,92040
ASSET GAS INCORPORATED   ,03170 CARMEL VALLEY RD   ,SAN DIEGO      ,92130
7 ELEVEN #2111-34235     ,02387 MIDWAY DR          ,SAN DIEGO      ,92110
7-ELEVEN 2111 #13643     ,06615 LINDA VISTA        ,SAN DIEGO      ,92111
7-ELEVEN 2111 #27109     ,00901 PALOMAR AIRPORT RD ,CARLSBAD       ,92008
7-ELEVEN 2131 #18710     ,00430 SPRUCE ST          ,SAN DIEGO      ,92103
7-ELEVEN 2131 #22481     ,10205 LAKE JENNINGS PARK ,LAKESIDE       ,92040
EL TORO MARKET           ,00337 N MAIN ST          ,FALLBROOK      ,92028
DANIELS APPLE MARKET     ,05256 S MISSION RD #700  ,BONSALL        ,92003
PALOMAR AIRPORT ARCO     ,01991 PALOMAR AIRPORT RD ,CARLSBAD       ,92011
7-ELEVEN 2131 #13662     ,08625 LOS COCHES RD      ,LAKESIDE       ,92040
ARCO AM/PM #3052         ,06899 FRIARS             ,SAN DIEGO      ,92108
7-ELEVEN 2131 #33458     ,01670 KETTNER BLVD       ,SAN DIEGO      ,92101
7-ELEVEN 2111 #19006     ,09111 MISSION GORGE      ,SANTEE         ,92071
SOMERVILLE'S COUNTRY MKT ,05113 5TH AVE            ,FALLBROOK      ,92028
BI-RITE MARKET           ,02228 1ST AVE            ,SAN DIEGO      ,92101
CHRIS'S LIQUOR STORE     ,02275 SUNSET CLIFFS      ,SAN DIEGO      ,92107
ARCO AM/PM #3037         ,00915 S CAMINO DEL RIO   ,SAN DIEGO      ,92108
7-ELEVEN 2111 #17043     ,00711 OCEANSIDE BLVD     ,OCEANSIDE      ,92054
7 ELEVEN STORE 2171-39205,00936 E MISSION RD       ,FALLBROOK      ,92028
ARCO AM/PM               ,06616 MIRAMAR RD         ,SAN DIEGO      ,92121
GLENN'S MARKET           ,02835 UNIVERSITY         ,SAN DIEGO      ,92104
GOLDEN STATE MARKET      ,00935 W MISSION AVE STE A,ESCONDIDO      ,92025
PAY-LOW SUPERMARKET      ,00420 S MEADOWBROOK DR #B,SAN DIEGO      ,92114
ROBINWOOD LIQUOR         ,05120 ROBINWOOD RD       ,BONITA         ,92002
7-ELEVEN 2111 #13601     ,00201 OAK                ,CARLSBAD       ,92008
SAND N SEA LIQUOR        ,03006 GARRISON ST        ,SAN DIEGO      ,92106
