Company,Address,City,Zip Code
JIM'S DELI                              ,2478 MONTAUK HIGHWAY                    ,BELLPORT            ,11713
BELLPORT QUICK STOP                     ,461 STATION ROAD                        ,BELLPORT            ,11713
BELLPORT BEER                           ,417 STATION ROAD                        ,BELLPORT            ,11713
T GAS                                   ,1741 MONTAUK HWY                        ,BELLPORT            ,11713
OK PETRO - BROOKHAVEN                   ,2510 MONTAUK HIGHWAY                    ,BROOKHAVEN          ,11719
FRIENDLY QUICK MART                     ,2815 MONTAUK HWY                        ,BROOKHAVEN          ,11719
KING KULLEN #15                         ,552 MONTAUK HIGHWAY                     ,CENTER MORICHES     ,11934
A & P WALDBAUMS D.I.P. STORE # 229      ,812 MONTAUK HIGHWAY                     ,CENTER MORICHES     ,11934
USA GAS - CENTER MORICHES               ,230 MAIN STREET                         ,CENTER MORICHES     ,11934
MORICHES BAGEL & DELI                   ,329 MAIN STREET                         ,CENTER MORICHES     ,11934
WANDA'S WEIGHT ROOM                     ,225 MONTAUK HIGHWAY                     ,CENTER MORICHES     ,11934
VALERO GAS                              ,620 MONTAUK HWY                         ,EAST MORICHES       ,11940
KING KULLEN #43                         ,25 EASTPORT MANOR ROAD                  ,EASTPORT            ,11941
VALERO - EASTPORT                       ,125 COUNTY ROAD 51                      ,EASTPORT            ,11941
EASTPORT PLAZA DELI                     ,13 EASTPORT MANOR RD                    ,EASTPORT            ,11941
KING KULLEN #33                         ,460 COUNTY ROAD 111                     ,MANORVILLE          ,11949
HANDY PANTRY - MANORVILLE               ,238 MORICHES ROAD &                     ,MANORVILLE          ,11949
HESS #32434                             ,285 WADING RIVER ROAD                   ,MANORVILLE          ,11949
7-11 #25150                             ,450 CO RD 111/CHAPMAN BLVD              ,MANORVILLE          ,11949
MIKES DELI                              ,260 MORICHES MIDDLE ISLAND RD           ,MANORVILLE          ,11949
IDEAL FOODS                             ,1133 MONTAUK HWY.                       ,MASTIC              ,11950
SHOP WITH US                            ,1088 MASTIC ROAD                        ,MASTIC              ,11950
CITGO                                   ,1081 MASTIC ROAD                        ,MASTIC              ,11950
