Acct,Address,City ,Zip
 Am Pm 6070 - Sw Beav Hill,10975 Sw Beav-Hills,Beaverton ,97005
 Center Market 12,604 Main Street,Tillmook,97141
 Chevron 1125 - 185th,2281 Nw 185th,Hillsboro,97124
 Tualatin Chevron,9770 Sw Tual-Sherwood Rd,Tulatin,97062
 Chevron Van Mall West,8050 Ne Van Mall Dr,Vancouver,98682
 Food 4 Less,63455 N Hw 97 Ste 7,Bend,97701
 Food 4 Less 583 - Powell,7979 Se Powell,Portland ,97206
 88 Market,9004 Se Woodstock,Portland ,97266
 B & B Market Supply,32284 Scappoose-Vernonia ,Scappoose,97056
 Food Fair 2,7134 Se Duke,Portland,97206
 Hubbard Market,3574 Pacific Hwy 99 ,Hubbard,97032
 Killingsworth Food,1616 Ne Killingsworth,Portland ,97211
 Progress Grocery & Deli,8624 Sw Scholls Fry,Beaverton ,97005
Self Service Market,12325 Se 82nd,Happy Valley,97086
 T-N-T,164 Se 1st St,Canby,97013
 T J's Superette Ne 33rd,129 West Main Street,Sheridan,97378
Market Of Choice,2580 Willakenzie Rd.,Eugene,97401
 Market Of Choice # 12,8502 Sw Terwilliger,Portland ,97219
Market of Choice ,1960 Franklin,Eugene,97401
Market Of Choice #6,1060 Green Acres Rd,Eugene,97401
 Market Of Choice #7,922 Nw Circle Blvd Ste110,Corvallis,97330
 Market Of Choice #9,2848 Willamette,Eugene,97405
 Market Of Choice 5,5839 Hood St,West Linn,97068
12th Street Market,1695 12th Street Se,Salem,97302
 21st Ave Quick Stop Mkt,602 Nw 21st           ,Portland ,97210
 4-U Mart,608 Se 157th Avenue,Vancouver,98684
 72nd Food Mart,5434 Se 72nd Ave,Portland ,97206
 76 - Beavercreek N/A,22025 S Beavercreek Rd,Beavercreek,97004
 76 - Clairmont N/A,1511 Molalla Ave,Oregon City ,97045
 76 - Downtown,1967 Sw 4th Ave,Portland,97201
 76 - Hillsdale,6303 Sw Capitol Hwy   ,Portland ,97201
 76 - Oak Grove,13939 Se Mcloughlin    ,Milwaukie,97267
 76 - Trails End,13001 Clackamas River Dr,Oregon City ,97045
 Aafes Kingsley Field Bx,302 Vandenburg Dr,Klammath Falls ,97603
 Amazon Mkt,1815 W 11th,Eugene,97402
 Aumsville Market,630 Main St Po Box 806 ,Aumsville,97325
 Average Joe's Food Mart**,633 E Powell Blvd,Gresham,97030
 Best Mart,3565 Sw Hall Blvd,Beaverton,97005
Bill's Sheridan Market,836 E Main,Sheridan ,97378
 Blackmans 4 Way Grocery,127005 Hwy 21,Molalla,97038
 Brave Legion Fitness,14010 Ne 3rd Court,Vancouver ,98685
 Camas Hilltop Market,1408 Ne Everett Street,Camas,98607
 Candies Kwik Shop,8553 Se 72nd,Portland ,97206
 Capitol Hwy Deli Mart,11102 Sw Capitol Hwy,Portland ,97219
 Carson Oil,4175 Santiam Hwy Se,Albany ,97321
 Ce Lovejoy's Brookswd Mkt,19530 Meadow Drive #140,Bend,97702
 Cherry St Market & Deli,3740 Cherry St N,Keizer,97303
 Churchill Market & Deli,2101 Bailey Hill Rd,Eugene,97405
 Community Market,1045 Maxwell Rd,Eugene,97404
 Cornelius Fast Serv,990 N Adair,Cornelius,97113
 Cornelius Shell,845 N Adair St,Cornelius,97113
 Corner Market,518 Main St,Lyons,97358
Corner Market,10501 N.E. Hwy 99,Vancouver ,98665
Countryside Mini Mart,701 Deborah Rd,Newberg,97132
 Dallas Supermarket,121 Oak St,Dallas,97338
Daves Corner Market,633 N 9th,Cottage Grove,97424
 E-Z Food Mart,790 Wallace Rd Nw,Salem ,97304
 E St Market & Deli,1414 E Street,Washougal,98671
 East Side Mkt & Laundry,3075 Row River Rd.,Cottage Grove,97424
 Foodliner Al & Ernies,802 E Main St,Battle Ground,98604
 Glenwood Grocery,11811 Ne 72nd Ave.,Vancouver,98665
 H-Mart,13600 Sw Pacific Hwy,Tigard ,97223
 Hi School Pharmacy,1357 Monmouth St,Independence,97351
 Hockinson Market,15814 N.E. 182nd,Hockinson,98682
 Hoot Owl Market,6730 Sw Capitol Hwy    ,Portland,97219
 J R Convenience Store,1140 Sw Jefferson Street,Portland,97201
 Jefferson Grocery,159 S Main Street,Jefferson,97352
 Jiffy Mart,7004 Se 82nd,Portland ,97266
 Johns Groceries,5390 Main,Springfield,97477
Lacomb Grocery,34076 E Lacomb Rd,Lebanon,97355
 Lil 'q' Food Store,8510 E. Mill Plain B,Vancouver,98664
 Ln Minit Market,536 E 11th,Eugene,97401
 Loafers Station,222 Sw Washington,Albany ,97321
 Lovejoy Convenience Store,2110 Nw Lovejoy,Portland,97210
 Mac's Store,12450 Hwy 39,Klammath Falls ,97601
 Malin's Farmer's Market,2150 Broadway St,Malin,97632
 Manzanita Fresh Foods,733 Manzanita Avenue,Manzanita,97130
 Manzanita Grocery & Deli,193 Laneda Avenue,Manzanita,97130
 Maritime Texaco,1701 Marine Dr,Astoria,97103
 Marmot Grocery,59650 E Hwy 26,Sandy,97055
 Melvin's Fir Street Mkt,160 S Fir Street,Sisters,97759
 Metzger Mart,10055 Sw Hall Blvd,Tigard ,97223
 Mulino Store,26611 S Hwy 213,Mulino,97042
 New Day Market,11905 Ne Halsey Suite B,Portland,97220
 Newport Avenue Market,1121 Nw Newport Ave,Bend,97701
 Oak Market,800 Oak Street,Silverton,97381
 On The Way Market,38299 Hwy  58,Dexter,97431
 Oregon Market,2096 State St,Salem ,97301
 Peterson's - 4th,513 Sw 4th             ,Portland ,97301
Petersons On Morrison,922 Sw Morrison        ,Portland ,97204
 Petersons On Yamhill,115 Sw Yamhill       ,Portland ,97204
 Rascall's,47393 Hwy 58,Oakridge,97463
 Rickreall Stop N Save #10,115 Main St,Rickreall,97371
 Roadrunner Gas Gros,52023 Columb Riv Hwy,Scappoose,97056
 Roll Your Own Mart,4452 Se 52nd,Portland ,97206
 S And S Market,2831 E Main,Hillsboro,97123
 Ski Bowl,87000 E Hwy 26,Government Camp,97028
 Snappys Gas & Grocery,10512 Se Mill Plain,Vancouver,98664
St Paul Market,103 Se Blanchet St.,St Paul ,97137
 Stop N Shop Market,2270 W 18th,Eugene,97403
Sunriver Country Store,18160 Cottonwood Rd #222,Sunriver,97707
 Texaco Gladstone,19805 Mcloughlin Blvd,Gladstone,97027
 Theresa's Family Market,1170 S Hemlock,Cannon Beach,97110
 Thrifty Market,105 Sw Rainbow Ave,Dallas,97338
Thrifty Nifty,223 West Jackson,Medford,97501
 Thurman Market,2576 Nw Thurman,Portland ,97210
 Tobacco Outlet,1173 Ne Division,Gresham,97236
 Tumalo Store,64683 Cook,Bend,97701
 Uptown Chevron Food Mart,2230 W Burnside,Portland ,97210
 Us Market Broadway #130,1030 Broadway Ne,Salem ,97303
Wayside Salmon Creek,1309-A N.E. 134th,Vancouver ,98665
 Williams General Store,20180 Williams Highway,Williams ,97544
 Woodburn Market,398 North Pacific Hwy,Woodburn,97071
 C & K Market,39317 Mckenzie Hwy,Springfield,97478
 C & K Market #77,231 N Coast Hwy,Yachats,97478
 Priceless #29 Tri City,498 Pacific Hwy,Myrtle Creek,98457
 Priceless #58 Winston,Grandway Shop. Cntr,Winston,97496
 Ray's Foods #10,4260 S Pacific Hwy/Bx 993,Phoenix,97535
 Ray's Foods #44,580 Ne Broadway,Waldsport,97394
 Ray's Foods #5,506 Main St,Rogue River,97537
 Ray's Foods #63,401 N 5th St,Jacksonville,97530
 Ray's Foods #67,1427 Ne 7th St,Grants Pass ,97526
Ray's Foods #68,1555 Williams Hwy,Grants Pass ,97527
 Ray's Foods #71,110 Deer Creek Rd,Selma,97538
Rays Foods #39,88320 Territorial Rd,Veneta,97487
Rays Foods #41,210 Sw Century Dr,Bend ,97702
Rays Foods #45,445 N Hwy 20,Sisters,97759
Rays Foods #50,48067 Hwy 58/Pob 738,Oakridge,97463
Rays Foods #51,35831 Hwy 58,Pleasant Hill,97401
 Rays Foods #70,621 N Hickory St,Albany ,97321
 Rays Foods #76,51573 Hwy 97,Lapine ,97739
 Shop Smart-Ray's #28,205 Watkins Street,Cave Junction,97523
 Shop Smart #54,51370 Hwy 97,Lapine ,97739
Roth's 4 - Mcminville,1595 S Baker St,Mcminnville,97128
 Roths #12 West Salem,1130 Wallace Rd Nw,Salem,97304
 7-11 #15133 - Alder St,1316 Alder,Eugene ,97401
 7-11 #19589 - River Rd,895 River Rd,Eugene ,97404
7-11 22057 - Scholls,12100 Sw Scholls Fry,Tigard ,97223
 Sherm's Food 4 Less,2230 Biddle Rd,Medford ,97501
 Fortunes Distributing,90436 Coburg Rd,Coburg ,97408
 Thriftway Bales Cedar Mil,12675 Nw Cornell Rd,Portland,97229
 Thriftway Bales Farmingto,17675 Sw Farmington Road,Aloha ,97007
Thriftway Cutsforths,225 N E 2nd,Canby ,97013
 Thriftway Estacada,280 S Broadway,Estacada ,97023
Thriftway Naps,112 E First Street,Newberg ,97132
 Us Market Cherry Ave #125,3825 Cherry Ave,Keizer ,97303
 Walgreens - West Main,2280 West Main St,Medford ,97504
Walgreens #11696,1727 12th St,Hood River ,97031
 Walgreens #7373 Grants Pa,111 Union Ave,Grants Pass ,97527
 Walgreens #9650 Wallace R,699 Wallace Rd,Salem ,97301
 Walgreens 9651 - Dalles,515 Mt Hood St,The Dalles ,97058
Albertsons #406 (M),11330 51st Ave Nw,Gig Harbor,98332
Albertsons #419 (M),3700 Sw Sedgewick Rd,Port Orchard ,98367
 Albertsons #443 (M),2900 Wheaton Way,Bremerton,98310
 Albertsons #473 (M),12725 1st Ave South,Burien,98168
 Am Pm - Sandhu's Mini Mar,2200 4th Avenue So,Seattle ,98134
 Am Pm #4390,1124 - 4th Street,Marysville ,98270
 Am Pm Mini Mart,950 N 85th St,Seattle ,98103
 Am Pm Mini Mart,950 N 85th St,Seattle ,98103
 Am Pm Mini Mart #5083,27202 Pacific Hwy S,Federal Way ,98003
 Chevron - Em - #1185,9000 Holman Road Nw,Seattle ,98117
 Chevron #1008 - Dupont,1275 Center Drive,Dupont ,98327
 Circle K Gravelly Lake,13101 Gravelly Lake Dr Sw,Lakewood ,98499
Red Apple (M),115 N Granite Ave,Granite Falls ,98252
 Atomic Foods (M),1212 N. Fourth,Pasco,99301
Park & Pak (M),905 Lincoln,Sunnyside,98944
Valley View #1 Sunnys (M),107 West Lincoln,Sunnyside,98944
 Valley View #2 Topp. (M),618 E Toppenish Ave,Toppenish ,98948
 Jackpot - Burbank,720 Humorist Rd.,Burbank ,99323
 76 - Checkers,1822 So Jackson,Tacoma ,98466
 76 - Moms Deli @ Vashon,19124 Vashon Hwy Sw,Vashon ,98070
76 - Tagger's Mini Mart,6615 S 12th Street,Tacoma ,98465
 Canyon Grocery And Deli,8401 Canyon Road E,Puyallup,98371
 Chevron - 72nd St,1772 S 72nd Street,Tacoma ,98408
 Discount Food Store,2501 S 12th St,Tacoma ,98405
 E-Z Shop,1765 S Jackson St,Tacoma ,98465
Jbj Food Mart -Shell,3004 112th Street E,Tacoma ,98446
 Milton Shell,524 Meridian East,Milton ,98371
 Park Avenue Foods,7214 Park Ave So,Tacoma ,98409
Peter's Grocery,1307 So 38th,Tacoma ,98408
 Shell - Checker Ii,2301 So 12th Street,Tacoma ,98402
 Shell - Pop's Deli Mart,7202 6th Ave,Tacoma ,98106
 Stop-In Grocery,3908 6th Ave,Tacoma ,98406
 Youngs Quick Stop #3,6440 South Tyler St,Tacoma ,98409
 Anacortes Market (M),1519 Commercial Ave,Anacortes ,98221
Cost Cutter 448-Sunset(M),1275 E Sunset,Bellingham ,98225
 Cost Cutter 453 Fernd (M),1750 La Bounty Drive,Ferndale ,98248
 Cost Cutter 489-Blain (M),1733 H St #100,Blaine ,98230
Cost Cutter 67 Merid (M),4131 Guide Meridian,Bellingham ,98225
 Fair Food Pavil 441 L (M),8130 Guide Meridian,Lynden ,98264
 Food Pavillion Sedro Woolley(M),530 Crossroad Square,Sedro Woolley ,98284
Food Pavillion -Mt Vernon (M),1515 N 18th Street,Mount Vernon,98273
" Market @ Fairhaven,the(M)",3125 Old Fairhaven Pkwy,Bellingham ,98225
" Markets @ Birch Bay, (M)",8135 Birch Bay Square St ,Blaine ,98230
 The Market At Lakeway (M),1030 Lakeway Dr,Bellingham ,98229
Met Market - Kirkland (M),10611 Ne 68th St,Kirkland ,98033
Met Mket #154 Proctor (M),2420 No Proctor,Tacoma ,98406
Met Mkt #151 Queen Ann(M),1908 Queen Ave N,Seattle ,98109
 Met Mkt #153 Admiral (M),2320 42nd Ave Sw,Seattle ,98116
 Met Mkt #156 Sandpoint(M),5250 40th Ave Ne,Seattle ,98105
 Met Mkt #157 Uptown (M),100 W Mercer St,Seattle ,98119
116th Street Market,3628 116th Ne,Marysville ,98270
2nd Street Market,131 South 2nd Street,Yakima ,98901
 3rd Street Market (M),604 S 3rd Street,Yakima ,98901
 405 Express Mart,1800 Ne 44th St #100,Renton ,98056
 4th Street Mkt&Deli (M),1212 4th Street,Marysville ,98270
 76-Crossroads(M),5200 172nd St Ne,Arlington ,98223
76-Express Stop(M),16510 Sr 9 Se,Snohomish ,98296
76-North Bend(M),520 E North Bend Way,North Bend ,98045
76-Pioneer Square(M),719 - 91st Ave Ne,Lake Stevens ,98205
 76 - Aurora,8408 Aurora Ave N,Seattle ,98103
 76 - Ballard,5715 15th Ave Nw,Seattle ,98107
