STORE,STREET,CITY,ZIP,,,,,,,,,,,,,,,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP,STORE,STREET,CITY,ZIP
Center Market 12,10975 Sw Beaverton-Hillsdale Hwy, Beaverton,97005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevron Van Mall West,604 Main Street, Tillamook,97141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food 4 Less,8050 Ne Van Mall Dr, Vancouver,98682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food 4 Less 583 - Powell,63455 N Hw 97 Ste 7, Bend,97701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 Market,7979 Se Powell, Portland,97206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B & B Market Supply,9004 Se Woodstock, Portland,97266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Fair 2,32284 Scappoose-Vernonia, Scappoose,97056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killingsworth Food,7134 Se Duke, Portland,97206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T J's Superette Ne 33rd,1616 Ne Killingsworth, Portland,97211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Of Choice,129 West Main Street, Sheridan,97378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Of Choice # 12,2580 Willakenzie Rd., Eugene,97401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Of Choice #10,8502 Sw Terwilliger, Portland,97219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Of Choice #6,1960 Franklin, Eugene,97401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Of Choice #7,1060 Green Acres Rd, Eugene,97401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Of Choice #9,922 Nw Circle Blvd Ste110, Corvallis,97330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Of Choice 5,2848 Willamette, Eugene,97405
12th Street Market,5839 Hood St, West Linn,97068
21st Ave Quick Stop Mkt,1695 12th Street Se, Salem,97302
4-U Mart,602 Nw 21st            R, Portland,97210
72nd Food Mart,608 Se 157th Avenue, Vancouver,98684
76 - Beavercreek N/A,5434 Se 72nd Ave, Portland,97206
76 - Clairmont N/A,22025 S Beavercreek Rd, Beavercreek,97004
76 - Downtown,1511 Molalla Ave, Oregon City,97045
76 - Hillsdale,1967 Sw 4th Ave, Portland,97201
76 - Oak Grove,6303 Sw Capitol Hwy    R, Portland,97201
76 - Trails End,13939 Se Mcloughlin    R, Milwaukie,97267
76 - Trails End N/A,13001 Clackamas River Dr, Oregon City,97045
Aafes Kingsley Field Bx,13001 Clackamas River Dr, Oregon City,97045
Amazon Mkt,302 Vandenburg Dr, Klamath Falls,97603
Aumsville Market,1815 W 11th, Eugene,97402
Best Mart,630 Main St Po Box 806, Aumsville,97325
Bill's Sheridan Market,3565 Sw Hall Blvd, Beaverton,97005
Blackmans 4 Way Grocery,836 E Main, Sheridan,97378
Brave Legion Fitness,127005 Hwy 211, Molalla,97038
Candies Kwik Shop,14010 Ne 3rd Court, Vancouver,98685
Capitol Hwy Deli Mart,8553 Se 72nd, Portland,97206
Carson Oil,11102 Sw Capitol Hwy, Portland,97219
Ce Lovejoy's Brookswd Mkt,4175 Santiam Hwy Se, Albany,97321
Churchill Market & Deli,19530 Meadow Drive #140, Bend,97702
Community Market,2101 Bailey Hill Rd, Eugene,97405
Cornelius Fast Serv,1045 Maxwell Rd, Eugene,97404
Cornelius Shell,990 N Adair, Cornelius,97113
Corner Market,845 N Adair St, Cornelius,97113
Corner Market,518 Main St, Lyons,97358
Countryside Mini Mart,10501 N.E. Hwy 99, Vancouver,98665
Daves Corner Market,701 Deborah Rd, Newberg,97132
E-Z Food Mart,633 N 9th, Cottage Grove,97424
E St Market & Deli,790 Wallace Rd Nw, Salem,97304
East Side Mkt & Laundry,1414 E Street, Washougal,98671
Foodliner Al & Ernies,3075 Row River Rd., Cottage Grove,97424
Glenwood Grocery,802 E Main St, Battle Ground,98604
H-Mart,11811 Ne 72nd Ave., Vancouver,98665
Hi School Pharmacy,13600 Sw Pacific Hwy, Tigard,97223
Hockinson Market,1357 Monmouth St, Independence,97351
Hoot Owl Market,15814 N.E. 182nd, Hockinson,98682
J R Convenience Store,6730 Sw Capitol Hwy    R, Portland,97219
Jefferson Grocery,1140 Sw Jefferson Street, Portland,97201
Johns Groceries,159 S Main Street, Jefferson,97352
Lacomb Grocery,5390 Main, Springfield,97477
Lil 'q' Food Store,34076 E Lacomb Rd, Lebanon,97355
Ln Minit Market,8510 E. Mill Plain B, Vancouver,98664
Loafers Station,536 E 11th, Eugene,97401
Lovejoy Convenience Store,222 Sw Washington, Albany,97321
Mac's Store,2110 Nw Lovejoy, Portland,97210
Malin's Farmer's Market,12450 Hwy 39, Klamath Falls,97601
Manzanita Fresh Foods,2150 Broadway St, Malin,97632
Manzanita Grocery & Deli,733 Manzanita Avenue, Manzanita,97130
Maritime Texaco,193 Laneda Avenue, Manzanita,97130
Melvin's Fir Street Mkt,1701 Marine Dr, Astoria,97103
Mulino Store,160 S Fir Street, Sisters,97759
New Day Market,26611 S Hwy 213, Mulino,97042
Newport Avenue Market,11905 Ne Halsey Suite B, Portland,97220
Oak Market,1121 Nw Newport Ave, Bend,97701
On The Way Market,800 Oak Street, Silverton,97381
Oregon Market,38299 Hwy  58, Dexter,97431
Peterson's - 4th,2096 State St, Salem,97301
Petersons On Morrison,513 Sw 4th             L, Portland,97204
Petersons On Yamhill,922 Sw Morrison        R, Portland,97205
Rascall's,115 Sw Yamhill         L, Portland,97204
Rickreall Stop N Save #10,47393 Hwy 58, Oakridge,97463
Roadrunner Gas Gros,115 Main St, Rickreall,97371
S And S Market,52023 Columb Riv Hwy, Scappoose,97056
Ski Bowl,2831 E Main, Hillsboro,97123
Snappys Gas & Grocery,87000 E Hwy 26, Government Camp,97028
Stop N Shop Market,10512 Se Mill Plain, Vancouver,98664
Sunriver Country Store,2270 W 18th, Eugene,97403
Texaco Gladstone,18160 Cottonwood Rd #222, Sunriver,97707
Texaco Gladstone N/A,19805 Mcloughlin Blvd, Gladstone,97027
Theresa's Family Market,19805 Mcloughlin Blvd, Gladstone,97027
Thrifty Nifty,1170 S Hemlock, Cannon Beach,97110
Thurman Market,223 West Jackson, Medford,97501
Tobacco Outlet,2576 Nw Thurman, Portland,97210
Tumalo Store,1173 Ne Division, Gresham,97236
Uptown Chevron Food Mart,64683 Cook, Bend,97701
Wayside Salmon Creek,2230 W Burnside, Portland,97210
Williams General Store,1309-A N.E. 134th, Vancouver,98665
Woodburn Market,20180 Williams Highway, Williams,97544
C & K Market,398 North Pacific Hwy, Woodburn,97071
C & K Market #77,39317 Mckenzie Hwy, Springfield,97478
Priceless #29 Tri City,231 N Coast Hwy, Yachats,97498
Priceless #58 Winston,498 Pacific Hwy, Myrtle Creek,97457
Ray's Foods #10,Grandway Shop. Cntr, Winston,97496
Ray's Foods #44,4260 S Pacific Hwy/Bx 993, Phoenix,97535
Ray's Foods #5,580 Ne Broadway, Waldport,97394
Ray's Foods #67,506 Main St, Rogue River,97537
Ray's Foods #68,1427 Ne 7th St, Grants Pass,97526
Ray's Foods #71,1555 Williams Hwy, Grants Pass,97527
Rays Foods #39,110 Deer Creek Rd, Selma,97538
Rays Foods #41,88320 Territorial Rd, Veneta,97487
Rays Foods #45,210 Sw Century Dr, Bend,97702
Rays Foods #50,445 N Hwy 20, Sisters,97759
Rays Foods #51,48067 Hwy 58/Pob 738, Oakridge,97463
Rays Foods #70,35831 Hwy 58, Pleasant Hill,97401
Rays Foods #76,621 N Hickory St, Albany,97321
Shop Smart-Ray's #28,51573 Hwy 97, Lapine,97739
Shop Smart #54,205 Watkins Street, Cave Junction,97523
Roth's 4 - Mcminville,51370 Hwy 97, Lapine,97739
7-11 #15133 - Alder St,1595 S Baker St, Mcminnville,97128
7-11 #19589 - River Rd,1316 Alder, Eugene,97401
7-11 22057 - Scholls,895 River Rd, Eugene,97404
Sherm's Food 4 Less,12100 Sw Scholls Fry, Tigard,97223
Fortunes Distributing,2230 Biddle Rd, Medford,97501
Soda Express**,90436 Coburg Rd, Coburg,97408
Thriftway Bales Cedar Mil,Po Box 1197, Tualatin,97062
Thriftway Bales Farmingto,12675 Nw Cornell Rd, Portland,97229
Thriftway Cutsforths,17675 Sw Farmington Road, Aloha,97007
Thriftway Estacada,225 N E 2nd, Canby,97013
Thriftway Naps,280 S Broadway, Estacada,97023
Us Market Broadway #130,112 E First Street, Newberg,97132
Us Market Cherry Ave #125,1030 Broadway Ne, Salem,97303
Walgreens - West Main,3825 Cherry Ave, Keizer,97303
Walgreens #11696,2280 West Main St, Medford,97504
Walgreens #7373 Grants Pa,1727 12th St, Hood River,97031
Walgreens #9650 Wallace R,111 Union Ave, Grants Pass,97527
Walgreens 9651 - Dalles,699 Wallace Rd, Salem,97301
,515 Mt Hood St, The Dalles,97058
